16VP::16VP -- 1  -- author             --          -- MONOMERIC       -- A
1A32::1A32 -- 1  -- author             --          -- MONOMERIC       -- A
1A41::1A41 -- 1  -- author             --          -- MONOMERIC       -- A
1A62::1A62 -- 1  -- author             --          -- MONOMERIC       -- A
1A7E::1A7E -- 1  -- author             --          -- MONOMERIC       -- A
1AH7::1AH7 -- 1  -- author             --          -- MONOMERIC       -- A
1AHO::1AHO -- 1  -- author             --          -- MONOMERIC       -- A
1AOL::1AOL -- 1  -- author             --          -- MONOMERIC       -- A
1AQZ::1AQZ -- 1  -- author             --          -- MONOMERIC       -- A
1ATG::1ATG -- 1  -- author             --          -- MONOMERIC       -- A
1ATZ::1ATZ -- 1  -- author             --          -- MONOMERIC       -- A
1AUE::1AUE -- 1  -- author             --          -- MONOMERIC       -- A
1AZO::1AZO -- 1  -- author             --          -- MONOMERIC       -- A
1B24::1B24 -- 1  -- author             --          -- MONOMERIC       -- A
1B5L::1B5L -- 1  -- author             --          -- MONOMERIC       -- A
1B79::1B79 -- 1  -- author             -- PISA     -- MONOMERIC       -- A
1B9W::1B9W -- 1  -- author             --          -- MONOMERIC       -- A
1BCO::1BCO -- 1  -- author             --          -- MONOMERIC       -- A
1BF2::1BF2 -- 1  -- author             --          -- MONOMERIC       -- A
1BHE::1BHE -- 1  -- author             --          -- MONOMERIC       -- A
1BKR::1BKR -- 1  -- author             --          -- MONOMERIC       -- A
1BM8::1BM8 -- 1  -- author             --          -- MONOMERIC       -- A
1BPB::1BPB -- 1  -- author             --          -- MONOMERIC       -- A
1BR9::1BR9 -- 1  -- author             --          -- MONOMERIC       -- A
1BTE::1BTE -- 1  -- author             -- PISA     -- MONOMERIC       -- A
1BU8::1BU8 -- 1  -- author             --          -- MONOMERIC       -- A
1BX8::1BX8 -- 1  -- author             --          -- MONOMERIC       -- A
1BXY::1BXY -- 1  -- author             -- PISA     -- MONOMERIC       -- A
1C1K::1C1K -- 1  -- author             --          -- MONOMERIC       -- A
1C3D::1C3D -- 1  -- author             --          -- MONOMERIC       -- A
1C4O::1C4O -- 1  -- author             --          -- MONOMERIC       -- A
1C7K::1C7K -- 1  -- author             --          -- MONOMERIC       -- A
1CB8::1CB8 -- 1  -- author             --          -- MONOMERIC       -- A, B
1CC8::1CC8 -- 1  -- author             --          -- MONOMERIC       -- A
1CHD::1CHD -- 1  -- author             --          -- MONOMERIC       -- A
1CIY::1CIY -- 1  -- author             --          -- MONOMERIC       -- A
1CJW::1CJW -- 1  -- author             --          -- MONOMERIC       -- A
1CPQ::1CPQ -- 1  -- author             --          -- MONOMERIC       -- A
1CR5::1CR5 -- 1  -- author             --          -- MONOMERIC       -- A
1CVR::1CVR -- 1  -- author             -- PISA     -- MONOMERIC       -- A
1CWV::1CWV -- 1  -- author             --          -- MONOMERIC       -- A
1CY5::1CY5 -- 1  -- author             --          -- MONOMERIC       -- A
1D4O::1D4O -- 1  -- author             -- PISA     -- MONOMERIC       -- A
1D5T::1D5T -- 1  -- author             --          -- MONOMERIC       -- A
1DCQ::1DCQ -- 1  -- author             --          -- MONOMERIC       -- A
1DD9::1DD9 -- 1  -- author             --          -- MONOMERIC       -- A
1DI1::1DI1 -- 1  -- author             --          -- MONOMERIC       -- A
1DLW::1DLW -- 1  -- author             --          -- MONOMERIC       -- A
